<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         4463.045       A       1      0       12952 
rcv         4463.19        A       1      0       13002 
rcv         4463.272       A       1      0       13052 
rcv         4463.329       A       1      0       13102 
rcv         4463.418       A       1      0       13152 
rcv         4463.568       A       1      0       13202 
rcv         4463.619       A       1      0       13252 
rcv         4463.665       A       1      0       13302 
snd         4486.877       D       13302  50      1     
snd         4486.978       D       13352  50      1     
snd         4487.143       D       13402  50      1     
snd         4487.26        D       13452  50      1     
snd         4487.328       D       13502  50      1     
rcv         4500.573       A       1      0       13352 
rcv         4506.229       A       1      0       13402 
rcv         4506.348       A       1      0       13452 
rcv         4506.408       A       1      0       13502 
rcv         4506.464       A       1      0       13552 
snd         4547.51        D       13552  50      1     
snd         4547.657       D       13602  50      1     
snd         4547.77        D       13652  50      1     
snd         4547.938       D       13702  50      1     
snd         4548.001       D       13752  50      1     
rcv         4563.167       A       1      0       13602 
rcv         4575.274       A       1      0       13652 
snd         4581.39        D       13802  50      1     
rcv         4581.549       A       1      0       13702 
snd         4593.347       D       13852  50      1     
rcv         4615.525       A       1      0       13752 
snd         4622.177       D       13902  50      1     
drop        4622.177       D       13952  50      1     
rcv         4628.213       A       1      0       13802 
snd         4639.203       D       13952  50      1     
rcv         4662.368       A       1      0       13852 
rcv         4679.239       A       1      0       13902 
snd         4679.318       D       14002  50      1     
rcv         4696.58        A       1      0       13952 
snd         4713.319       D       14052  50      1     
rcv         4730.284       A       1      0       14002 
snd         4746.584       D       14102  50      1     
rcv         4764.178       A       1      0       14052 
snd         4782.39        D       14152  50      1     
rcv         4805.221       A       1      0       14102 
snd         4805.316       D       14202  50      1     
rcv         4827.429       A       1      0       14152 
snd         4827.504       D       14252  50      1     
snd         4850.714       D       14302  50      1     
rcv         4850.814       A       1      0       14202 
snd         4872.778       D       14352  50      1     
rcv         4872.853       A       1      0       14252 
snd         4890.58        D       14402  50      1     
rcv         4906.427       A       1      0       14302 
snd         4924.116       D       14452  50      1     
rcv         4940.261       A       1      0       14352 
snd         4956.978       D       14502  50      1     
rcv         4974.119       A       1      0       14402 
snd         4991.958       D       14552  50      1     
rcv         5003.541       A       1      0       14452 
snd         5014.969       D       14602  50      1     
drop        5014.969       D       14652  50      1     
rcv         5026.468       A       1      0       14502 
snd         5032.524       D       14652  50      1     
rcv         5032.654       A       1      0       14552 
snd         5048.915       D       14702  50      1     
rcv         5060.23        A       1      0       14602 
snd         5065.43        D       14752  50      1     
rcv         5077.466       A       1      0       14652 
snd         5083.571       D       14802  50      1     
rcv         5098.958       A       1      0       14702 
snd         5121.438       D       14852  50      1     
rcv         5126.746       A       1      0       14752 
snd         5150.73        D       14902  50      1     
drop        5150.73        D       14952  50      1     
rcv         5157.213       A       1      0       14802 
snd         5180.58        D       14952  50      1     
drop        5180.58        D       15002  50      1     
rcv         5202.803       A       1      0       14852 
snd         5220.32        D       15002  50      1     
rcv         5232.479       A       1      0       14902 
snd         5248.347       D       15052  50      1     
rcv         5248.45        A       1      0       14952 
snd         5253.583       D       15102  50      1     
rcv         5253.716       A       1      0       15002 
snd         5270.504       D       15152  50      1     
rcv         5293.368       A       1      0       15052 
snd         5299.657       D       15202  50      1     
drop        5299.657       D       15252  50      1     
rcv         5299.745       A       1      0       15102 
snd         5317.174       D       15252  50      1     
rcv         5334.074       A       1      0       15152 
snd         5351.557       D       15302  50      1     
rcv         5367.79        A       1      0       15202 
snd         5379.33        D       15352  50      1     
rcv         5390.592       A       1      0       15252 
snd         5408.869       D       15402  50      1     
rcv         5426.222       A       1      0       15302 
snd         5426.35        D       15452  50      1     
rcv         5442.982       A       1      0       15352 
snd         5465.243       D       15502  50      1     
rcv         5471.426       A       1      0       15402 
snd         5482.824       D       15552  50      1     
rcv         5488.052       A       1      0       15452 
snd         5504.368       D       15602  50      1     
rcv         5515.472       A       1      0       15502 
snd         5532.698       D       15652  50      1     
rcv         5549.531       A       1      0       15552 
snd         5561.779       D       15702  50      1     
rcv         5572.453       A       1      0       15602 
snd         5584.451       D       15752  50      1     
rcv         5601.42        A       1      0       15652 
snd         5624.095       D       15802  50      1     
rcv         5624.179       A       1      0       15702 
snd         5641.747       D       15852  50      1     
rcv         5641.852       A       1      0       15752 
rcv         5641.996       A       1      0       15802 
snd         5642.108       D       15902  50      1     
rcv         5642.196       A       1      0       15852 
